ID,Milestone,Owner,Hard dependencies,Source acceptance,DoD clarification,Evidence required,Historical action status,Current acceptance status
A00,P1,Audit coordinator,,Exact main/PR subjects and scoped source/evidence inventories acquired; acquisition is not combined build or deployment proof,PASS historis hanya untuk akuisisi source audit. Binding SSOT repo dan release baru wajib diperiksa pada S01/C01; tidak mengulang seluruh audit.,Release manifest; required CI receipts; served health/fatal-exit fault results; role/runner/governance evidence,PASS,HISTORICAL_SOURCE_ACQUISITION_ONLY
C01,P1,Release maintainer,A00,Candidate A tested cannot deploy B; checkout/build/deploy refs bound to same reviewed source; nonzero migration/deploy status propagates; manual dispatch explicit source and gate evidence,Uji sengaja source A diuji tetapi B diminta deploy: harus ditolak; migration/deploy nonzero harus membuat job gagal.,Release manifest; required CI receipts; served health/fatal-exit fault results; role/runner/governance evidence,BLOCKED,NOT_EXECUTED_THIS_REVIEW
C02,P1,Platform maintainer,A00,API no longer forces embedded orchestrator; existing dedicated orchestrator owns lifecycle; invalid dual-plane configuration fails before consumers; legacy broker paths have recording-sink zero-dispatch proof,Exactly one lifecycle owner dan satu broker-capable executor per scope; duplicate/legacy consumer tidak boleh mengirim ke broker.,Release manifest; required CI receipts; served health/fatal-exit fault results; role/runner/governance evidence,BLOCKED,NOT_EXECUTED_THIS_REVIEW
C03,P1,Test maintainer,C01,Integrate reviewed #415 then unique #416 delta; preserve #413 migration behavior/redaction tests; required test failures fail job and skips remain visible; HealthProbeRuntime caller compatibility reviewed,Semua required checks benar-benar dijalankan; skipped/missing tidak dihitung PASS. Tidak mengendurkan gate untuk meluluskan kandidat.,Release manifest; required CI receipts; served health/fatal-exit fault results; role/runner/governance evidence,BLOCKED,NOT_EXECUTED_THIS_REVIEW
C04,P1,Infrastructure owner,A00,New dedicated Linux runner identity/capacity/billing scope fixed; disposable Redis/PostgreSQL and clean checkout supported; historical Hostinger/Windows workloads untouched,Runner bersih mempunyai identitas dan capacity evidence; provisioning atau biaya belum dilakukan oleh DoD.,Release manifest; required CI receipts; served health/fatal-exit fault results; role/runner/governance evidence,BLOCKED,NOT_EXECUTED_THIS_REVIEW
C05,P1,GitHub administrator,C01; C03,Required exact-source checks/reviews active for selected release branch; unauthorized or alternate deploy path cannot silently bypass equivalent evidence,Buktikan jalur release alternatif tidak dapat melewati required evidence yang ekuivalen.,Release manifest; required CI receipts; served health/fatal-exit fault results; role/runner/governance evidence,BLOCKED,NOT_EXECUTED_THIS_REVIEW
C06,P1,Runtime service maintainer,A00,"Actual served readiness returns HTTP503 when a mandatory router import, required task or bootstrap fails; fatal task/bootstrap failure propagates a nonzero process exit; graceful shutdown and intentionally disabled optional features are not falsely classified fatal; one health listener owns the configured port and reports the same supervisor state","Matikan mandatory task/router pada fault fixture: served readiness 503, fatal exit nonzero. Health listener dan supervisor mengacu state yang sama.",Release manifest; required CI receipts; served health/fatal-exit fault results; role/runner/governance evidence,BLOCKED,NOT_EXECUTED_THIS_REVIEW
S01,P2,Strategy contract maintainer,A00,"Record already accepted V3.1 design intent with exact document digest, implementation policy IDs and versioned schemas; resolve enum/example consistency; no repeated design approval request; source-bound authority mapping must identify L1-L11 analysis/validation, only L12 strategy verdict and mandatory post-verdict gates; mapping evidence required, current runtime L12 wiring not inferred",SSOT v3.1 existing repo tetap acuan; path/full commit/digest harus bound. R1/R2 tidak diadopsi. Daftar interpretasi dan policy gaps diselesaikan eksplisit.,SSOT binding; fixture and policy digests; expected-vs-actual; durable rows; repeated replay hashes; §24 coverage report,BLOCKED,NOT_EXECUTED_THIS_REVIEW
S02,P2,Market data maintainer,C02,Readiness requires real fresh coverage; lease renew/release owner-atomic; pinned WS exception behavior; closed fallback candle semantics; cache provenance and bounded retention; stale/unknown sources never become fresh by heartbeat,Freeze quote sambil heartbeat berjalan: evidence tetap stale. Partial/future candle tidak boleh authoritative.,SSOT binding; fixture and policy digests; expected-vs-actual; durable rows; repeated replay hashes; §24 coverage report,BLOCKED,NOT_EXECUTED_THIS_REVIEW
S03,P2,Admission maintainer,S01,One normalized material observation per logical pulse; live/replay flags and timestamps agree; duplicate delivery no inflation; mixed direction does not split pair activity; gap suspends pending continuity; future evidence rejected,"Mixed direction mempertahankan pair activity bila continuity sah. BUY0/SELL150/BUY300 membutuhkan coverage/gap-policy yang valid, bukan otomatis GRANTED.",SSOT binding; fixture and policy digests; expected-vs-actual; durable rows; repeated replay hashes; §24 coverage report,BLOCKED,NOT_EXECUTED_THIS_REVIEW
S04,P2,Lifecycle maintainer,S03; C02,Canonical raw and mature advisory use existing durable lifecycle; advisory full SHADOW analysis emits zero risk/commands; same-episode raw upgrade requires fresh candidate; single-flight late-result fencing and persisted material watermarks,"Qualifying advisory mendapat lifecycle/analisis tetapi nol capital reservation, FinalSignal executable atau command; upgrade wajib re-evaluation.",SSOT binding; fixture and policy digests; expected-vs-actual; durable rows; repeated replay hashes; §24 coverage report,BLOCKED,NOT_EXECUTED_THIS_REVIEW
S05,P2,Strategy geometry maintainer,S01,Closed/as-of H1 and ordered M15 proof; nearest fresh unconsumed target from SSOT v3.1 §17.2 universe; structural SL before RR/cost constraints and final feasible interval per §17.1; bound instrument policy/spec; no farther target selected to force RR.,Koreksi ringkasan H4-only: gunakan universe SSOT §17.2 D1/H4/H1 dan sumber struktural legal. §17.1 menjadi referensi solve order; konflik diagram dicatat dalam binding.,SSOT binding; fixture and policy digests; expected-vs-actual; durable rows; repeated replay hashes; §24 coverage report,BLOCKED,NOT_EXECUTED_THIS_REVIEW
S06,P2,Replay maintainer,S02; S04; S05; C04,Bound dataset/as-of availability/clock/policy replay reproduces identities and decision reasons; parser diagnostics repeated with actual dependencies; no lookahead or advisory authority leak,Seluruh 15 acceptance §24.1 dan 20 zero-tolerance §24.2 diuji dengan denominator dan fixture. Denominator nol bukan 100% PASS.,SSOT binding; fixture and policy digests; expected-vs-actual; durable rows; repeated replay hashes; §24 coverage report,BLOCKED,NOT_EXECUTED_THIS_REVIEW
R01,P3,Risk policy owner and maintainer,S01,Bind one explicitly selected account/mode/currency risk profile; equal5+5 and DEMO3.5+1.5 kept distinct; parent-first rollout cap explicit; RR metric/threshold tied to policy; no percentage guessed from memory,Satu risk profile account/mode/currency terikat; tidak mencampur equal dengan asymmetric. Nilai yang belum terikat berstatus UNBOUND.,Combined source/schema/EA manifest; DB transaction/race/fault receipts; wire vectors; MetaEditor output; negative sink counters,BLOCKED,NOT_EXECUTED_THIS_REVIEW
R02,P3,Risk ledger maintainer,R01; S05,Current canonical P5 identity enters serialized account admission; reservation+leg+FinalSignal+outbox atomic; floor broker volume and final cash-loss oracle; pending/filled/unsubmitted/unknown exposure counted once; unavailable snapshot fails closed,Race dua worker/akun; capacity serialized; below-min safe lot ditolak; filled/pending/reserved/unknown dihitung sekali.,Combined source/schema/EA manifest; DB transaction/race/fault receipts; wire vectors; MetaEditor output; negative sink counters,BLOCKED,NOT_EXECUTED_THIS_REVIEW
R03,P3,Protocol maintainer,R02,Explicit natural5SCR DEMO source class with current candidate/proof/reservation/account/spec/reconciliation/version/deadline binding; #418 projection and #419 engineering lineage cannot masquerade as capital authority; bind source-backed L12 strategy verdict plus mandatory post-verdict gates before separate account/exposure/final-size risk approval; P5-to-risk regex/ID substitution cannot bypass unknown gate mapping; journal records only and enrichment has no authority,Natural source class memiliki lineage lengkap; ID regex substitution tidak menggantikan verifikasi strategy verdict/gates/risk.,Combined source/schema/EA manifest; DB transaction/race/fault receipts; wire vectors; MetaEditor output; negative sink counters,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E01,P4,EA and bridge maintainer,A00,SHADOW and DEMO active timer handlers use monotonic elapsed scheduling; UTC expiry separate; direct claim enforces not-before/expiry atomically; no-quote recovery continues but stale quote submit rejects,"Monotonic elapsed scheduling terpisah dari UTC expiry; no-quote tetap bisa recovery, tidak bisa submit dengan quote stale.",Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E02,P4,Auth and ledger maintainer,A00,Separate attestor principal and immutable proof/verifier; heartbeat bool cannot establish reconciliation; account/purpose/challenge/version/expiry/completeness checked; enqueue/arm binds verified proof atomically,Executor heartbeat boolean tidak cukup; attestor/reader terikat dan hasil query lengkap. Unknown proof menahan new risk.,Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
