ID,Milestone,Owner,Hard dependencies,Historical status,Current status,DONE,Closure scope,Evidence and blocker,Acceptance,DoD clarification,Evidence pointers
A00,P1,Audit coordinator,,PASS,ASSESSMENT_DONE,True,SOURCE_ACQUISITION_ONLY,"Eight inputs,48 archive members,41 actions,172 historical source receipts and current GitHub/Railway inventory acquired; no trading capability closure.",Exact main/PR subjects and scoped source/evidence inventories acquired; acquisition is not combined build or deployment proof,PASS historis hanya untuk akuisisi source audit. Binding SSOT repo dan release baru wajib diperiksa pada S01/C01; tidak mengulang seluruh audit.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
C01,P1,Release maintainer,A00,BLOCKED,PATCHED_TESTED_LOCAL_PARTIAL,False,NOT_CLOSED,"Exact-source CI gate and four UUID targets patched. Missing/failed/skipped/no-runner/A-vs-B receipt tests pass. Alternate arbitrary-command canary and direct provider deploy paths, final artifact parity and successful remote CI remain open.",Candidate A tested cannot deploy B; checkout/build/deploy refs bound to same reviewed source; nonzero migration/deploy status propagates; manual dispatch explicit source and gate evidence,Uji sengaja source A diuji tetapi B diminta deploy: harus ditolak; migration/deploy nonzero harus membuat job gagal.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
C02,P1,Platform maintainer,A00,BLOCKED,PATCHED_TESTED_LOCAL_PARTIAL,False,NOT_CLOSED,API-only entrypoints and lifespan deny embedded owner before consumers; consolidated shim no longer enables it. Recording executable proves zero denied launches / exactly one allowed API launch. Actual dedicated runtime owner/fencing/legacy sink scope remains unmeasured.,API no longer forces embedded orchestrator; existing dedicated orchestrator owns lifecycle; invalid dual-plane configuration fails before consumers; legacy broker paths have recording-sink zero-dispatch proof,Exactly one lifecycle owner dan satu broker-capable executor per scope; duplicate/legacy consumer tidak boleh mengirim ke broker.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
C03,P1,Test maintainer,C01,BLOCKED,PATCHED_TESTED_LOCAL_PARTIAL,False,NOT_CLOSED,Full applicable API requirements installed unchanged with Pydantic 2.9.2 and pip check PASS; 334 selected final cases pass. Baseline raw-ID order test corrected without changing producer ordering. Isolated MCP job remains required. Full remote/Linux/DB/convergence gates remain open.,Integrate reviewed #415 then unique #416 delta; preserve #413 migration behavior/redaction tests; required test failures fail job and skips remain visible; HealthProbeRuntime caller compatibility reviewed,Semua required checks benar-benar dijalankan; skipped/missing tidak dihitung PASS. Tidak mengendurkan gate untuk meluluskan kandidat.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json; followup-s01-s03/README.md; followup-s01-s03/followup-validation.json
C04,P1,Infrastructure owner,A00,BLOCKED,BLOCKED,False,NOT_CLOSED,GitHub reports zero registered repo runners; dedicated clean Linux runner identity/capacity not established. Hosted jobs show runner_id=0/steps=[]; billing remediation excluded.,New dedicated Linux runner identity/capacity/billing scope fixed; disposable Redis/PostgreSQL and clean checkout supported; historical Hostinger/Windows workloads untouched,Runner bersih mempunyai identitas dan capacity evidence; provisioning atau biaya belum dilakukan oleh DoD.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
C05,P1,GitHub administrator,C01; C03,BLOCKED,BLOCKED,False,NOT_CLOSED,"Main protection false, ruleset disabled, no required status checks; provider-linked main and alternate canary release controls remain unclosed.",Required exact-source checks/reviews active for selected release branch; unauthorized or alternate deploy path cannot silently bypass equivalent evidence,Buktikan jalur release alternatif tidak dapat melewati required evidence yang ekuivalen.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
C06,P1,Runtime service maintainer,A00,BLOCKED,PATCHED_TESTED_LOCAL_PARTIAL,False,NOT_CLOSED,"Served ASGI readyz503 before broken router import; fallback503, sanitization/auth preserved; explicit strict router policy raises. Full task supervisor, default fatal exit and production served-state parity not proven.","Actual served readiness returns HTTP503 when a mandatory router import, required task or bootstrap fails; fatal task/bootstrap failure propagates a nonzero process exit; graceful shutdown and intentionally disabled optional features are not falsely classified fatal; one health listener owns the configured port and reports the same supervisor state","Matikan mandatory task/router pada fault fixture: served readiness 503, fatal exit nonzero. Health listener dan supervisor mengacu state yang sama.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
S01,P2,Strategy contract maintainer,A00,BLOCKED,SOURCE_BOUND_MAPPING_COMPLETE_POLICY_SCHEMA_GAPS,False,NOT_CLOSED,"Exact selected SSOT bytes, old-assessment receipt mismatch, 56 source/test paths, 15 rule groups, 35 clauses, 18 policy registries and 36 section references mapped. Missing historical bytes, enum/schema/decision-table and active policy/mandatory authority closure remain open.","Record already accepted V3.1 design intent with exact document digest, implementation policy IDs and versioned schemas; resolve enum/example consistency; no repeated design approval request; source-bound authority mapping must identify L1-L11 analysis/validation, only L12 strategy verdict and mandatory post-verdict gates; mapping evidence required, current runtime L12 wiring not inferred",SSOT v3.1 existing repo tetap acuan; path/full commit/digest harus bound. R1/R2 tidak diadopsi. Daftar interpretasi dan policy gaps diselesaikan eksplisit.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json; followup-s01-s03/README.md; followup-s01-s03/followup-validation.json
S02,P2,Market data maintainer,C02,BLOCKED,INCOMPLETE,False,NOT_CLOSED,"Closed/as-of component cases pass; real fresh coverage, owner-atomic lease and live readiness unmeasured.",Readiness requires real fresh coverage; lease renew/release owner-atomic; pinned WS exception behavior; closed fallback candle semantics; cache provenance and bounded retention; stale/unknown sources never become fresh by heartbeat,Freeze quote sambil heartbeat berjalan: evidence tetap stale. Partial/future candle tidak boleh authoritative.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
S03,P2,Admission maintainer,S01,BLOCKED,PATCHED_TESTED_LOCAL_PARTIAL,False,NOT_CLOSED,"Versioned activity evaluator preserves mixed direction and suspends source gaps; analyzer/pipeline reporting is explicit and non-executable. 334 final pinned-environment cases pass, including subprocess snapshot replay. Legacy grants remain unchanged. Logical pulse normalization, attestor/policy, PostgreSQL durability, attachment/SLA/runtime closure remain open.",One normalized material observation per logical pulse; live/replay flags and timestamps agree; duplicate delivery no inflation; mixed direction does not split pair activity; gap suspends pending continuity; future evidence rejected,"Mixed direction mempertahankan pair activity bila continuity sah. BUY0/SELL150/BUY300 membutuhkan coverage/gap-policy yang valid, bukan otomatis GRANTED.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json; followup-s01-s03/README.md; followup-s01-s03/followup-validation.json
