ID,Milestone,Owner,Outcome,Scope,Mutation surfaces,Hard dependencies,Preconditions,Expected acceptance,Execution status,Rollback boundary,Rollback recovery,Duration
A00,P1,Audit coordinator,SOURCE_ACQUISITION_COMPLETE,READ_ONLY,pr-integration-master.md; execution-source-manifest.json; strategy-master.md,,repository.subject_bound,Exact main/PR subjects and scoped source/evidence inventories acquired; acquisition is not combined build or deployment proof,PASS,Read-only observations and dossier; no repository/runtime mutation,,NOT_MEASURED
C01,P1,Release maintainer,RELEASE_EXACT_SHA_PATCHED,WORKTREE,.github/workflows/railway-deploy.yml; pressure-outbox deploy workflow; targeted release tests,A00,source.scope_acquired; authority.implementation,Candidate A tested cannot deploy B; checkout/build/deploy refs bound to same reviewed source; nonzero migration/deploy status propagates; manual dispatch explicit source and gate evidence,BLOCKED,Before C01 touches .github/workflows/railway-deploy.yml; pressure-outbox deploy workflow; targeted release tests,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
C02,P1,Platform maintainer,SINGLE_OWNER_CONTRACT_PATCHED,WORKTREE,deploy/railway/start_api_consolidated.sh; api/app_factory.py; services/orchestrator; services/trade/preflight.py,A00,source.scope_acquired; authority.implementation,API no longer forces embedded orchestrator; existing dedicated orchestrator owns lifecycle; invalid dual-plane configuration fails before consumers; legacy broker paths have recording-sink zero-dispatch proof,BLOCKED,Before C02 touches deploy/railway/start_api_consolidated.sh; api/app_factory.py; services/orchestrator; services/trade/preflight.py,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
C03,P1,Test maintainer,REQUIRED_GATES_TRUTHFUL,WORKTREE,CI workflows; startup migration tests; health_probe_launcher; test baseline fixtures,C01,source.scope_acquired; RELEASE_EXACT_SHA_PATCHED; authority.implementation,Integrate reviewed #415 then unique #416 delta; preserve #413 migration behavior/redaction tests; required test failures fail job and skips remain visible; HealthProbeRuntime caller compatibility reviewed,BLOCKED,Before C03 touches CI workflows; startup migration tests; health_probe_launcher; test baseline fixtures,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
C04,P1,Infrastructure owner,DEDICATED_LINUX_RUNNER_AVAILABLE,EXTERNAL,New dedicated Linux VPS/VM or equivalent owned clean runner; no reuse of historical hosts,A00,source.scope_acquired; authority.infrastructure,New dedicated Linux runner identity/capacity/billing scope fixed; disposable Redis/PostgreSQL and clean checkout supported; historical Hostinger/Windows workloads untouched,BLOCKED,Before C04 touches New dedicated Linux VPS/VM or equivalent owned clean runner; no reuse of historical hosts,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
C05,P1,GitHub administrator,RELEASE_GOVERNANCE_ENFORCED,EXTERNAL,GitHub rulesets/branch release controls; selected repository only,C01; C03,source.scope_acquired; RELEASE_EXACT_SHA_PATCHED; REQUIRED_GATES_TRUTHFUL; authority.github_admin,Required exact-source checks/reviews active for selected release branch; unauthorized or alternate deploy path cannot silently bypass equivalent evidence,BLOCKED,Before C05 touches GitHub rulesets/branch release controls; selected repository only,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
C06,P1,Runtime service maintainer,REQUIRED_RUNTIME_READINESS_PATCHED,WORKTREE,Engine runner and served health probe; shared diagnostics; trade supervisor; API mandatory-router readiness; bounded behavior tests for R-01/R-02/R-20,A00,source.scope_acquired; authority.implementation,"Actual served readiness returns HTTP503 when a mandatory router import, required task or bootstrap fails; fatal task/bootstrap failure propagates a nonzero process exit; graceful shutdown and intentionally disabled optional features are not falsely classified fatal; one health listener owns the configured port and reports the same supervisor state",BLOCKED,Before C06 touches Engine runner and served health probe; shared diagnostics; trade supervisor; API mandatory-router readiness; bounded behavior tests for R-01/R-02/R-20,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
S01,P2,Strategy contract maintainer,V31_IMPLEMENTATION_BINDING_FROZEN,WORKTREE,Canonical SSOT registry; strategy/audit/policy version mapping; generated schema examples,A00,source.scope_acquired; authority.implementation,"Record already accepted V3.1 design intent with exact document digest, implementation policy IDs and versioned schemas; resolve enum/example consistency; no repeated design approval request; source-bound authority mapping must identify L1-L11 analysis/validation, only L12 strategy verdict and mandatory post-verdict gates; mapping evidence required, current runtime L12 wiring not inferred",BLOCKED,Before S01 touches Canonical SSOT registry; strategy/audit/policy version mapping; generated schema examples,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
S02,P2,Market data maintainer,MARKET_EVIDENCE_TRUSTWORTHY,WORKTREE,ingest metrics; finnhub_ws; fallback/hybrid; candle builder; live context; source-specific tests,C02,source.scope_acquired; SINGLE_OWNER_CONTRACT_PATCHED; authority.implementation,Readiness requires real fresh coverage; lease renew/release owner-atomic; pinned WS exception behavior; closed fallback candle semantics; cache provenance and bounded retention; stale/unknown sources never become fresh by heartbeat,BLOCKED,Before S02 touches ingest metrics; finnhub_ws; fallback/hybrid; candle builder; live context; source-specific tests,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
S03,P2,Admission maintainer,RAW_ADMISSION_DETERMINISTIC,WORKTREE,signal_throttle_log_analyzer; raw_admission_blocks; pair_admission contracts/reducers,S01,source.scope_acquired; V31_IMPLEMENTATION_BINDING_FROZEN; authority.implementation,One normalized material observation per logical pulse; live/replay flags and timestamps agree; duplicate delivery no inflation; mixed direction does not split pair activity; gap suspends pending continuity; future evidence rejected,BLOCKED,Before S03 touches signal_throttle_log_analyzer; raw_admission_blocks; pair_admission contracts/reducers,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
